STT,Tháng,Ngày phân bổ,Mã kiểu xe,Loại xe,Phiên bản,Tên màu ngoại thất,Tên màu T.A,Tên màu nội thất,Số khung,Số máy,Năm SX,Mã XHĐ,Vị trí xe vật lý/Kho,Tên SR phụ trách,Tên SR xếp xe,Ghi chú,Hợp đồng tạm xếp,Ngày xếp xe,Ngày xếp xe tạm,Trung tâm tạm xếp xe,Ngày hóa đơn đầu vào,Ngày hóa đơn bán,Ngày nhập xe về kho,Hợp đồng,Ngày giao xe,Ngày vận tải,Mã đơn vị vận tải,Tên đơn vị vận tải
173,9,12/09/2026,PE1U01,VF9,Eco,Trắng,White,Màu Đen,RLLV2CVA3TH830180,VFBALB268040075; VFBALA268220124,2026,N31921,,Ô tô Vinfast Times City,,,,,,,12/09/2026,,,,,,,
174,9,12/09/2026,VF8THM,VF8,Thế hệ mới,Trắng,White,Màu nâu,RLLV3FUV2TH838273,VFLANB269060130,2026,N31901,Kho xe Nhà máy SXLR - Thái Nguyên,Ô tô Vinfast Cam Giá,,,02.0650/09/2026/HĐMB-MDP,,16/09/2026,Ô tô Vinfast Cam Giá,,,15/09/2026,,,,,
175,9,12/09/2026,PE1U01,VF9,Eco,Trắng,White,Màu Đen,RLLV2CVA6TH833610,,2026,N31922,,Ô tô Vinfast Bắc Ninh,,,,,,,,,,,,,,
176,9,12/09/2026,VF2,VF2,VF2 màu cơ bản,Bạc,Silver,Màu xám,RLNVMNRSXTT709269,HLSA3A266130077,2026,N31912,,Ô tô Vinfast Bắc Ninh,,,,,,,13/09/2026,,,,,,,
177,9,12/09/2026,LIMO,LIMO GREEN,LIMO GREEN,Bạc,Silver,Màu đen Limo,RLLVFPNT4TH832744,ENBALB266270117,2026,N31923,Kho xe ô tô Vinfast Q12 - HCM,Ô tô Vinfast 03/2,,,,,,,,,16/09/2026,,,,,
178,9,12/09/2026,VF2,VF2,VF2 màu cơ bản,Màu đỏ Ruby,Solar Ruby,Màu xám,RLNVMNRS3TT709291,HLSA3A266130018,2026,N31917,,Ô tô Vinfast Times City,,,,,,,,,,,,,,
179,9,12/09/2026,LIMO,LIMO GREEN,LIMO GREEN,Bạc,Silver,Màu đen Limo,RLLVFPNT0TH832126,,2026,N31923,,Ô tô Vinfast Minh Đạo - Hà Huy Giáp,,,,,,,,,,,,,,
180,9,12/09/2026,VF302,VF3,Eco,Trắng,White,Màu Đen,RLNVBL9K7TT746337,TZ160X30G26072900295,2026,N31912,,Ô tô Vinfast Bắc Ninh,,TC2,,,,,,,,,,,,
181,9,12/09/2026,LIMO,LIMO GREEN,LIMO GREEN,Bạc,Silver,Màu đen Limo,RLLVFPNTXTH832182,ENBALB266300528,2026,N31923,,Ô tô Vinfast Thuận An,,,,,,,,,,,,,,
182,9,12/09/2026,VF302,VF3,Eco,Trắng,White,Màu Đen,RLNVBL9K4TT745503,TZ160X30G26072300265,2026,N31912,,Ô tô Vinfast Bắc Ninh,,TC2,,,,,,,,,,,,
183,9,12/09/2026,LIMO,LIMO GREEN,LIMO GREEN,Màu đỏ Ruby,Solar Ruby,Màu đen Limo,RLLVFPNT1TH813326,,2026,N31921,,Ô tô Vinfast Sóc Sơn,,,,,,,,,,,,,,
184,9,12/09/2026,VF305,VF3,Plus,Trắng,White,Màu Đen,RLNVBL9K8TT745150,TZ160X30G26072300152,2026,N31918,,Ô tô Vinfast Bắc Ninh,,TC2,,,,,,,,,,,,
185,9,12/09/2026,LIMO,LIMO GREEN,LIMO GREEN,Màu đỏ Ruby,Solar Ruby,Màu đen Limo,RLLVFPNT0TH812877,ENBALB266110192,2026,N31921,Kho xe ô tô Vinfast Bắc Ninh,Ô tô Vinfast Bắc Ninh,,,,,,,,,14/09/2026,,,,,
186,9,12/09/2026,VF305,VF3,Plus,Trắng,White,Màu Đen,RLNVBL9K3TT745136,TZ160X30G26072400032,2026,N31901,Kho xe Nhà máy SXLR - Thái Nguyên,Ô tô Vinfast Cam Giá,,TC2,,,,,13/09/2026,,15/09/2026,,,,,
187,9,12/09/2026,VF2,VF2,VF2 màu cơ bản,Trắng,White,Màu xám,RLNVMNRSXTT708977,HLSA3A266180048,2026,N31919,,Ô tô Vinfast Minh Đạo - Ocean Park2,,,,,,,12/09/2026,,,,,,,
188,9,12/09/2026,VF305,VF3,Plus,Trắng,White,Màu Đen,RLNVBL9K6TT745423,TZ160X30G26072200212,2026,N31919,,Ô tô Vinfast Minh Đạo - Ocean Park2,,TC2,,,,,,,,,,,,
189,9,12/09/2026,VF2,VF2,VF2 màu cơ bản,Trắng,White,Màu xám,RLNVMNRS3TT708996,HLSA3A266180072,2026,N31916,Kho xe VF Quý Hạnh - Sóc Sơn,Ô tô Vinfast Sóc Sơn,,,,,,,12/09/2026,,15/09/2026,,,,,
190,9,12/09/2026,VF305,VF3,Plus,Trắng,White,Màu Đen,RLNVBL9K5TT746353,TZ160X30G26072800200,2026,N31915,Kho xe Nhà máy SXLR - Thái Nguyên,Ô tô Vinfast Minh Đạo - Tân Thịnh,,TC2,,,,,13/09/2026,,15/09/2026,,,,,
191,9,12/09/2026,VF2,VF2,VF2 màu cơ bản,Trắng,White,Màu xám,RLNVMNRS6TT709057,HLSA3A266110038,2026,N31917,Kho ô tô Nguyễn Trãi,Ô tô Vinfast Minh Đạo - Nguyễn Trãi,,,,,,,12/09/2026,,16/09/2026,,,,,
192,9,12/09/2026,VF306,VF3,Plus,Vàng nóc trắng,Brahminy White Roof- Summer Yellow,Màu Đen,RLNVBL9KXTT745067,,2026,N31919,,Ô tô Vinfast Times City,Ô tô Vinfast Times City,TC2,,15/09/2026,,,13/09/2026,15/09/2026,,02.0188/09/2026/HĐMB-MDP,,,,
193,9,12/09/2026,VF2,VF2,VF2 màu cơ bản,Trắng,White,Màu xám,RLNVMNRS1TT709130,HLSA3A267140156,2026,N31910,Kho xe ô tô Vinfast Hòa Bình,Ô tô Vinfast Hòa Bình,,,,,,,12/09/2026,,16/09/2026,,,,,
194,9,12/09/2026,VF306,VF3,Plus,Xanh Lá Nhạt,Urban Mint,Màu Đen,RLNVBL9K0TT745210,TZ160X30G26072500148,2026,N31901,Kho xe Nhà máy SXLR - Thái Nguyên,Ô tô Vinfast Cam Giá,,TC2,,,,,13/09/2026,,15/09/2026,,,,,
195,9,12/09/2026,VF2,VF2,VF2 màu cơ bản,Màu đỏ Ruby,Solar Ruby,Màu xám,RLNVMNRS1TT708950,HLSA3A266080007,2026,N31912,Kho xe ô tô Vinfast Bắc Ninh,Ô tô Vinfast Bắc Ninh,,,,,,,12/09/2026,,14/09/2026,,,,,
196,9,12/09/2026,VF501,VF5,Plus,Trắng,White,Màu Đen,RLNV5JSE4TH838718,,2026,N31910,Kho xe ô tô Vinfast Hòa Bình,Ô tô Vinfast Hòa Bình,,,,,,,,,16/09/2026,,,,,
197,9,12/09/2026,VF201,VF2,VF2 màu nâng cao,Xanh Lá Nhạt,Urban Mint,Màu xám,RLNVMNRS8TT709013,HLSA3A266180071,2026,N31915,Kho xe Nhà máy SXLR - Thái Nguyên,Ô tô Vinfast Minh Đạo - Tân Thịnh,Ô tô Vinfast Minh Đạo - Tân Thịnh,,02.0670/09/2026/HĐMB-MDP,16/09/2026,16/09/2026,Ô tô Vinfast Minh Đạo - Tân Thịnh,,,14/09/2026,02.0670/09/2026/HĐMB-MDP,,,,
198,9,12/09/2026,VF501,VF5,Plus,Trắng,White,Màu Đen,RLNV5JSE2TH838751,VFCAFB269040084,2026,N31919,,Ô tô Vinfast Minh Đạo - Ocean Park2,,,,,,,,,,,,,,
199,9,12/09/2026,VF2,VF2,VF2 màu cơ bản,Trắng,White,Màu xám,RLNVMNRS0TT708874,HLSA3A266090129,2026,N31912,Kho xe ô tô Vinfast Bắc Ninh,Ô tô Vinfast Bắc Ninh,,,,,,,12/09/2026,,14/09/2026,,,,,
200,9,12/09/2026,VF501,VF5,Plus,Trắng,White,Màu Đen,RLNV5JSE9TH838746,,2026,N31912,,Ô tô Vinfast Bắc Ninh,,,,,,,,,,,,,,
201,9,12/09/2026,VF305,VF3,Plus,Trắng,White,Màu Đen,RLNVBL9K1TT744941,TZ160X30G26072000180,2026,N31901,Kho xe Nhà máy SXLR - Thái Nguyên,Ô tô Vinfast Cam Giá,,TC2,,,,,,,14/09/2026,,,,,
202,9,12/09/2026,VF501,VF5,Plus,Trắng,White,Màu Đen,RLNV5JSE5TH836136,VFCAFB269040049,2026,N31911,,Ô tô Vinfast Vũng Tàu,,,,,,,13/09/2026,,,,,,,
203,9,12/09/2026,VF305,VF3,Plus,Trắng,White,Màu Đen,RLNVBL9K2TT744706,TZ160X30G26072000319,2026,N31917,Kho ô tô Nguyễn Trãi,Ô tô Vinfast Minh Đạo - Nguyễn Trãi,,TC2,,,,,12/09/2026,,15/09/2026,,,,,
204,9,12/09/2026,VF8THM,VF8,Thế hệ mới,ĐEN,Black,Màu nâu,RLLV3FUV9TH837721,VFLANB269090100,2026,N31923,,Ô tô Vinfast 03/2,,,,,,,13/09/2026,,,,,,,
205,9,12/09/2026,VF2,VF2,VF2 màu cơ bản,Trắng,White,Màu xám,RLNVMNRS1TT709015,HLSA3A266180069,2026,N31923,,Ô tô Vinfast Minh Đạo - Phạm Văn Đồng,,,,,,,12/09/2026,,,,,,,
206,9,12/09/2026,VF2,VF2,VF2 màu cơ bản,Trắng,White,Màu xám,RLNVMNRS5TT709194,HLSA3A267140110,2026,N31920,Kho xe ô tô Vinfast Q12 - HCM,Ô tô Vinfast Minh Đạo - Hà Huy Giáp,,,,,,,13/09/2026,,16/09/2026,,,,,
207,9,12/09/2026,VF2,VF2,VF2 màu cơ bản,Trắng,White,Màu xám,RLNVMNRS1TT709001,HLSA3A266180096,2026,N31920,Kho xe ô tô Vinfast Q12 - HCM,Ô tô Vinfast Minh Đạo - Hà Huy Giáp,,,,,,,13/09/2026,,15/09/2026,,,,,
208,9,12/09/2026,VF2,VF2,VF2 màu cơ bản,Màu đỏ Ruby,Solar Ruby,Màu xám,RLNVMNRS6TT709205,,2026,N31911,,Ô tô Vinfast Vũng Tàu,,,,,,,,,,,,,,
209,9,12/09/2026,VF2,VF2,VF2 màu cơ bản,Trắng,White,Màu xám,RLNVMNRS0TT708924,HLSA3A266130136,2026,N31913,Kho xe ô tô QL13 - HCM,Ô tô Vinfast Minh Đạo - Phạm Văn Đồng,,,,,,,13/09/2026,,16/09/2026,,,,,
210,9,12/09/2026,VF2,VF2,VF2 màu cơ bản,Màu đỏ Ruby,Solar Ruby,Màu xám,RLNVMNRS9TT709196,HLSA3A267230108,2026,N31913,Kho xe ô tô QL13 - HCM,Ô tô Vinfast Thuận An,,,,,,,13/09/2026,,16/09/2026,,,,,
211,9,12/09/2026,VF2,VF2,VF2 màu cơ bản,Màu đỏ Ruby,Solar Ruby,Màu xám,RLNVMNRS8TT709108,HLSA3A266090046,2026,N31911,,Ô tô Vinfast Vũng Tàu,,,,,,,12/09/2026,,,,,,,
212,9,12/09/2026,VF2,VF2,VF2 màu cơ bản,Trắng,White,Màu xám,RLNVMNRS3TT709095,,2026,N31911,,Ô tô Vinfast Vũng Tàu,Ô tô Vinfast Vũng Tàu,,02.0851/07/2026/HĐMB-MDP,16/09/2026,16/09/2026,Ô tô Vinfast Vũng Tàu,,,,02.0851/07/2026/HĐMB-MDP,,,,
213,9,12/09/2026,VF2,VF2,VF2 màu cơ bản,Trắng,White,Màu xám,RLNVMNRS5TT709115,HLSA3A266180113,2026,N31911,,Ô tô Vinfast Vũng Tàu,,,,,,,12/09/2026,,,,,,,
214,9,12/09/2026,VF2,VF2,VF2 màu cơ bản,Trắng,White,Màu xám,RLNVMNRS0TT709006,HLSA3A266180046,2026,N31923,Kho xe ô tô QL13 - HCM,Ô tô Vinfast Minh Đạo - Phạm Văn Đồng,,,,,,,13/09/2026,,16/09/2026,,,,,
215,9,12/09/2026,VF305,VF3,Plus,Trắng,White,Màu Đen,RLNVBL9K4TT744934,TZ160X30G26072200379,2026,N31911,,Ô tô Vinfast Vũng Tàu,,TC2,,,,,12/09/2026,,,,,,,
216,9,12/09/2026,VF302,VF3,Eco,Trắng,White,Màu Đen,RLNVBL9K1TT745362,TZ160X30G26072200198,2026,N31920,Kho xe ô tô Vinfast Q12 - HCM,Ô tô Vinfast 03/2,,TC2,,,,,13/09/2026,,16/09/2026,,,,,
217,9,12/09/2026,VF305,VF3,Plus,Trắng,White,Màu Đen,RLNVBL9K4TT744951,TZ160X30G26072000383,2026,N31913,Kho xe ô tô QL13 - HCM,Ô tô Vinfast Minh Đạo - Phạm Văn Đồng,,TC2,,,,,13/09/2026,,16/09/2026,,,,,
218,9,12/09/2026,VF305,VF3,Plus,Trắng,White,Màu Đen,RLNVBL9KXTT745246,TZ160X30G26072300005,2026,N31913,Kho xe ô tô QL13 - HCM,Ô tô Vinfast Minh Đạo - Phạm Văn Đồng,,TC2,,,,,13/09/2026,,16/09/2026,,,,,
219,9,12/09/2026,PE1U01,VF9,Eco,Trắng,White,Màu Đen,RLLV2CVA7TH830179,VFBALB268060037; VFBALA268070081,2026,N31923,Kho xe ô tô Vinfast Q12 - HCM,Ô tô Vinfast Minh Đạo - Hà Huy Giáp,,,,,,,,,16/09/2026,,,,,
220,9,12/09/2026,VF305,VF3,Plus,Trắng,White,Màu Đen,RLNVBL9K0TT745451,,2026,N31920,Kho xe ô tô Vinfast Q12 - HCM,Ô tô Vinfast 03/2,Ô tô Vinfast 03/2,TC2,02.0697/09/2026/HĐMB-MDP,16/09/2026,16/09/2026,Ô tô Vinfast 03/2,13/09/2026,,16/09/2026,02.0697/09/2026/HĐMB-MDP,,,,
221,9,12/09/2026,PE1U06,VF9,Plus_metal_3zones,ĐEN,Black,Màu nâu,RLLV2CFA9TH824446,VFBALB267060082; VFBALA267090158,2026,N31923,Kho xe ô tô QL13 - HCM,Ô tô Vinfast 03/2,,,,,,,13/09/2026,,16/09/2026,,,,,
222,9,12/09/2026,VF707,VF7,Plus_metal,ĐEN,Black,Màu Mocha Nâu,RLLV3FKC5TH820190,VFBALB267040035,2026,N31923,,Ô tô Vinfast Thuận An,,TC2 - 1 cầu/ vin cũ: RLLV3FKC7TH820238,,,,,,,,,,,,
