STT,Tháng,Ngày phân bổ,Mã kiểu xe,Loại xe,Phiên bản,Tên màu ngoại thất,Tên màu T.A,Tên màu nội thất,Số khung,Số máy,Năm SX,Mã XHĐ,Vị trí xe vật lý/Kho,Tên SR phụ trách,Tên SR xếp xe,Ghi chú,Hợp đồng tạm xếp,Ngày xếp xe,Ngày xếp xe tạm,Trung tâm tạm xếp xe,Ngày hóa đơn đầu vào,Ngày hóa đơn bán,Ngày nhập xe về kho,Hợp đồng,Ngày giao xe,Ngày vận tải,Mã đơn vị vận tải,Tên đơn vị vận tải
1,9,14/09/2026,VF302,VF3,Eco,Trắng,White,Màu Đen,RLNVBL9KXTT745523,,2026,N31915,,Ô tô Vinfast Cam Giá,,TC2,,,,,,,,,,,,
2,9,09/09/2026,VF305,VF3,Plus,Trắng,White,Màu Đen,RLNVBL9K9TT744671,TZ160X30G26072100151,2026,N31913,,Ô tô Vinfast Minh Đạo - Phạm Văn Đồng,,TC2,,,,,09/09/2026,,,,,,,
3,9,12/09/2026,VF605,VF6,Plus,Màu đỏ Ruby,Solar Ruby,Màu Be,RLLVAG8C0TH833206,,2026,N31921,Kho xe ô tô Vinfast Bắc Ninh,Ô tô Vinfast Bắc Ninh,Ô tô Vinfast Bắc Ninh,TC2,,14/09/2026,,,12/09/2026,14/09/2026,14/09/2026,02.0573/09/2026/HĐMB-MDP,,,,
4,9,07/09/2026,VF713,VF7,ECO,Màu đỏ Ruby,Solar Ruby,Màu Đen,RLLV3F5D4TH834151,VFCAJB268290043,2026,N31921,Kho xe ô tô Lĩnh Nam,Ô tô Vinfast Minh Đạo - Nguyễn Trãi,Ô tô Vinfast Minh Đạo - Nguyễn Trãi,TC2 - có HUD,,15/09/2026,,,07/09/2026,14/09/2026,15/09/2026,02.0442/09/2026/HĐMB-MDP,,,,
5,9,12/09/2026,VF8THM,VF8,Thế hệ mới,ĐEN,Black,Màu Đen,RLLV3FUV3TH838329,VFLANB269060098,2026,N31922,,Ô tô Vinfast Bắc Ninh,,,,,,,,,,,,,,
6,9,09/09/2026,PE1U01,VF9,Eco,ĐEN,Black,Màu Đen,RLLV2CVA6TH830142,VFBALB267080148; VFBALA266220129,2026,N31923,,Ô tô Vinfast Minh Đạo - Phạm Văn Đồng,,,,,,,10/09/2026,,,,,,,
7,9,12/09/2026,VF8THM,VF8,Thế hệ mới,ĐEN,Black,Màu nâu,RLLV3FUV4TH837657,VFLANB268290017,2026,N31923,Kho xe ô tô QL13 - HCM,Ô tô Vinfast Minh Đạo - Hà Huy Giáp,,,,,,,12/09/2026,,15/09/2026,,,,,
8,9,07/09/2026,VF713,VF7,ECO,Màu đỏ Ruby,Solar Ruby,Màu Đen,RLLV3F5D5TH826060,VFCAJB268190316,2026,N31921,Kho xe ô tô Lĩnh Nam,Ô tô Vinfast Times City,Ô tô Vinfast Minh Đạo - Nguyễn Trãi,TC2 - có HUD,,14/09/2026,,,07/09/2026,14/09/2026,14/09/2026,02.0590/09/2026/HĐMB-MDP,,,,
9,9,14/09/2026,VF302,VF3,Eco,Trắng,White,Màu Đen,RLNVBL9K8TT745469,TZ160X30G26072400265,2026,N31915,,Ô tô Vinfast Minh Đạo - Tân Thịnh,,TC2,,,,,,,,,,,,
10,9,09/09/2026,VF305,VF3,Plus,Trắng,White,Màu Đen,RLNVBL9K3TT744522,TZ160X30G26071400387,2026,N31919,Kho xe ô tô OCP 2,Ô tô Vinfast Minh Đạo - Ocean Park2,Ô tô Vinfast Minh Đạo - Ocean Park2,TC2,,12/09/2026,,,09/09/2026,12/09/2026,15/09/2026,02.0056/09/2026/HĐMB-MDP,15/09/2026,,,
11,9,12/09/2026,VF305,VF3,Plus,Trắng,White,Màu Đen,RLNVBL9K8TT745116,,2026,N31912,Kho xe ô tô Vinfast Bắc Ninh,Ô tô Vinfast Bắc Ninh,Ô tô Vinfast Bắc Ninh,TC2,,15/09/2026,,,12/09/2026,15/09/2026,14/09/2026,02.1255/08/2026/HĐMB-MDP,,,,
12,9,07/09/2026,VF305,VF3,Plus,Trắng,White,Màu Đen,RLNVBL9K0TT744607,TZ160X30G26072000395,2026,N31912,Kho xe ô tô Vinfast Bắc Ninh,Ô tô Vinfast Bắc Ninh,Ô tô Vinfast Bắc Ninh,TC2,,10/09/2026,,,07/09/2026,10/09/2026,09/09/2026,02.0031/09/2026/HĐMB-MDP,11/09/2026,,,
13,9,12/09/2026,VF8THM,VF8,Thế hệ mới,ĐEN,Black,Màu nâu,RLLV3FUV5TH837747,VFLANB269050164,2026,N31917,Kho xe ô tô Vinfast Mê Linh,Ô tô Vinfast Times City,,,,,,,,,15/09/2026,,,,,
14,9,09/09/2026,VF305,VF3,Plus,Trắng,White,Màu Đen,RLNVBL9K3TT744732,TZ160X30G26071500137,2026,N31914,Kho xe ô tô Vinfast Mê Linh,Ô tô Vinfast Mê Linh,Ô tô Vinfast Mê Linh,TC2,,15/09/2026,,,09/09/2026,15/09/2026,12/09/2026,02.0536/09/2026/HĐMB-MDP,,,,
15,9,12/09/2026,VF305,VF3,Plus,Trắng,White,Màu Đen,RLNVBL9K6TT744756,TZ160X30G26072200229,2026,N31919,Kho xe VF Quý Hạnh - Sóc Sơn,Ô tô Vinfast Sóc Sơn,Ô tô Vinfast Sóc Sơn,TC2,,16/09/2026,,,12/09/2026,,15/09/2026,02.0397/09/2026/HĐMB-MDP,,,,
16,9,07/09/2026,VF305,VF3,Plus,Trắng,White,Màu Đen,RLNVBL9K8TT744337,TZ160X30G26072000005,2026,N31901,Kho xe Xưởng cơ khí - Thái Nguyên,Ô tô Vinfast Cam Giá,Ô tô Vinfast Cam Giá,TC2,,14/09/2026,,,07/09/2026,14/09/2026,08/09/2026,02.0285/09/2026/HĐMB-MDP,16/09/2026,,,
17,9,14/09/2026,VF302,VF3,Eco,Trắng,White,Màu Đen,RLNVBL9K9TT746226,TZ160X30G26072500218,2026,N31918,,Ô tô Vinfast Bắc Ninh,Ô tô Vinfast Bắc Ninh,TC2,,16/09/2026,,,,,,02.0561/08/2026/HĐMB-MDP,,,,
18,9,09/09/2026,VF305,VF3,Plus,Trắng,White,Màu Đen,RLNVBL9K7TT744698,TZ160X30G26072100120,2026,N31916,Kho xe VF Quý Hạnh - Sóc Sơn,Ô tô Vinfast Sóc Sơn,Ô tô Vinfast Sóc Sơn,TC2,,12/09/2026,,,09/09/2026,,11/09/2026,02.0011/09/2026/HĐMB-MDP,,,,
19,9,12/09/2026,VF305,VF3,Plus,Trắng,White,Màu Đen,RLNVBL9K5TT744814,TZ160X30G26071700023,2026,N31917,Kho xe ô tô Vinfast Times city,Ô tô Vinfast Times City,,TC2,,,,,12/09/2026,,16/09/2026,,,,,
20,9,07/09/2026,VF305,VF3,Plus,Trắng,White,Màu Đen,RLNVBL9K5TT744389,TZ160X30G26072100023,2026,N31916,Kho xe VF Quý Hạnh - Sóc Sơn,Ô tô Vinfast Sóc Sơn,Ô tô Vinfast Sóc Sơn,TC2,,10/09/2026,,,07/09/2026,11/09/2026,11/09/2026,02.0016/09/2026/HĐMB-MDP,11/09/2026,,,
21,9,12/09/2026,PE1U01,VF9,Eco,Trắng,White,Màu Đen,RLLV2CVA0TH833618,VFBALB268040057; VFBALA268220107,2026,N31922,Kho xe Nhà máy SXLR - Thái Nguyên,Ô tô Vinfast Cam Giá,,,,,,,,,15/09/2026,,,,,
22,9,09/09/2026,VF305,VF3,Plus,Xám,Zenith Grey,Màu Đen,RLNVBL9K4TT744089,TZ160X30G26071600126,2026,N31901,Kho xe Xưởng cơ khí - Thái Nguyên,Ô tô Vinfast Cam Giá,,TC2,,,,,09/09/2026,,14/09/2026,,,,,
23,9,12/09/2026,VF306,VF3,Plus,Hồng Phấn,Brahminy White Roof- Rose Pink,Màu Đen,RLNVBL9K5TT744828,TZ160X30G26071600073,2026,N31912,,Ô tô Vinfast Bắc Ninh,,TC2,,,,,12/09/2026,,,,,,,
24,9,07/09/2026,VF305,VF3,Plus,Trắng,White,Màu Đen,RLNVBL9K4TT744545,TZ160X30G26071700315,2026,N31915,Kho xe Tân Thịnh - Thái Nguyên,Ô tô Vinfast Minh Đạo - Tân Thịnh,Ô tô Vinfast Minh Đạo - Tân Thịnh,TC2,02.0953/07/2026/HĐMB-MDP,15/09/2026,14/09/2026,Ô tô Vinfast Minh Đạo - Tân Thịnh,07/09/2026,15/09/2026,08/09/2026,02.0953/07/2026/HĐMB-MDP,,,,
25,9,14/09/2026,VF305,VF3,Plus,Trắng,White,Màu Đen,RLNVBL9K7TT745334,,2026,N31910,Kho xe ô tô Vinfast Hòa Bình,Ô tô Vinfast Hòa Bình,,TC2,,,,,,,16/09/2026,,,,,
26,9,09/09/2026,PE1U01,VF9,Eco,ĐEN,Black,Màu Đen,RLLV2CVA1TH830159,VFBALB267080181; VFBALA266220130,2026,N31921,Kho xe ô tô Lĩnh Nam,Ô tô Vinfast Times City,,,,,,,10/09/2026,,11/09/2026,,,,,
27,9,12/09/2026,VF306,VF3,Plus,Vàng nóc trắng,Brahminy White Roof- Summer Yellow,Màu Đen,RLNVBL9K9TT745092,TZ160X30G26072400028,2026,N31917,Kho ô tô Nguyễn Trãi,Ô tô Vinfast Minh Đạo - Nguyễn Trãi,,TC2,,,,,12/09/2026,,15/09/2026,,,,,
28,9,07/09/2026,VF306,VF3,Plus,Xanh Lá Nhạt,Urban Mint,Màu Đen,RLNVBL9K8TT743480,TZ160X30G26071500393,2026,N31917,Kho xe ô tô Lĩnh Nam,Ô tô Vinfast Times City,,TC2,,,,,07/09/2026,,15/09/2026,,,,,
29,9,12/09/2026,PE1U01,VF9,Eco,ĐEN,Black,Màu Đen,RLLV2CVA7TH777774,VFBALB267070005; VFBALA267090154,2026,N31916,Kho xe VF Quý Hạnh - Sóc Sơn,Ô tô Vinfast Sóc Sơn,,,,,,,,,16/09/2026,,,,,
30,9,09/09/2026,PE1U06,VF9,Plus_metal_3zones,Trắng,White,Màu nâu,RLLV2CFA2TH823218,VFBALB267070019; VFBALA267070006,2026,N31901,Kho xe Xưởng cơ khí - Thái Nguyên,Ô tô Vinfast Cam Giá,,DEMO,,,,,10/09/2026,,11/09/2026,,,,,
31,9,12/09/2026,VF306,VF3,Plus,Vàng nóc trắng,Brahminy White Roof- Summer Yellow,Màu Đen,RLNVBL9K0TT745045,TZ160X30G26072300094,2026,N31911,,Ô tô Vinfast Vũng Tàu,,TC2,,,,,,,,,,,,
32,9,07/09/2026,VF305,VF3,Plus,Trắng,White,Màu Đen,RLNVBL9K9TT744590,TZ160X30G26072100162,2026,N31917,Kho xe ô tô Lĩnh Nam,Ô tô Vinfast Minh Đạo - Nguyễn Trãi,Ô tô Vinfast Minh Đạo - Nguyễn Trãi,TC2,,15/09/2026,,,07/09/2026,15/09/2026,14/09/2026,02.0782/09/2026/HĐMB-MDP,16/09/2026,,,
33,9,14/09/2026,VF306,VF3,Plus,Vàng nóc trắng,Brahminy White Roof- Summer Yellow,Màu Đen,RLNVBL9K2TT745337,TZ160X30G26072500123,2026,N31917,,Ô tô Vinfast Minh Đạo - Nguyễn Trãi,,TC2,,,,,,,,,,,,
34,9,09/09/2026,VF8THM,VF8,Thế hệ mới,ĐEN,Black,Màu Đen,RLLV3FUV6TH831861,VFLANB268190272,2026,N31922,Kho xe ô tô Vinfast Mê Linh,Ô tô Vinfast Times City,Ô tô Vinfast Times City,N31922-VSO-26-06-0019/ Phan Triệu trường,,15/09/2026,,,10/09/2026,15/09/2026,12/09/2026,02.1739/06/2026/HĐMB-MDP,,,,
35,9,12/09/2026,VF713,VF7,ECO,ĐEN,Black,Màu Đen,RLLV3F5D0TH824412,VFCAJB268230294,2026,N31921,,Ô tô Vinfast Minh Đạo - Ocean Park2,,TC2 - có HUD,,,,,13/09/2026,,,,,,,
36,9,07/09/2026,VF305,VF3,Plus,Trắng,White,Màu Đen,RLNVBL9K0TT744459,TZ160X30G26072200305,2026,N31917,Kho xe ô tô Lĩnh Nam,Ô tô Vinfast Times City,Ô tô Vinfast Times City,TC2,,16/09/2026,,,07/09/2026,16/09/2026,15/09/2026,02.0154/09/2026/HĐMB-MDP,,,,
37,9,12/09/2026,VF2,VF2,VF2 màu cơ bản,Trắng,White,Màu xám,RLNVMNRS4TT709283,HLSA3A265120034,2026,N31913,Kho xe ô tô QL13 - HCM,Ô tô Vinfast Thuận An,,,,,,,13/09/2026,,16/09/2026,,,,,
38,9,09/09/2026,VF2,VF2,VF2 màu cơ bản,Trắng,White,Màu xám,RLNVMNRS6TT708605,HLSA3A266110119,2026,N31917,Kho xe ô tô Lĩnh Nam,Ô tô Vinfast Times City,,,,,,,10/09/2026,,12/09/2026,,,,,
39,9,12/09/2026,VF201,VF2,VF2 màu nâng cao,Xanh Lá Nhạt,Urban Mint,Màu xám,RLNVMNRSXTT708879,,2026,N31917,Kho ô tô Nguyễn Trãi,Ô tô Vinfast Minh Đạo - Nguyễn Trãi,Ô tô Vinfast Minh Đạo - Nguyễn Trãi,vin cũ: RLNVMNRS2TT708603,,16/09/2026,,,,16/09/2026,16/09/2026,02.0761/09/2026/HĐMB-MDP,,,,
40,9,07/09/2026,VF2,VF2,VF2 màu cơ bản,Trắng,White,Màu xám,RLNVMNRSXTT708431,HLSA3A266110020,2026,N31914,Kho xe ô tô Vinfast Mê Linh,Ô tô Vinfast Mê Linh,,,,,,,09/09/2026,,12/09/2026,,,,,
41,9,14/09/2026,VF306,VF3,Plus,Vàng nóc trắng,Brahminy White Roof- Summer Yellow,Màu Đen,RLNVBL9K1TT745085,TZ160X30G26072400224,2026,N31912,,Ô tô Vinfast Bắc Ninh,,TC2,,,,,,,,,,,,
42,9,09/09/2026,VF2,VF2,VF2 màu cơ bản,Trắng,White,Màu xám,RLNVMNRS5TT708529,HLSA3A266110041,2026,N31919,,Ô tô Vinfast Minh Đạo - Ocean Park2,Ô tô Vinfast Minh Đạo - Ocean Park2,,,11/09/2026,,,10/09/2026,11/09/2026,,02.0418/08/2026/HĐMB-MDP,,,,
43,9,12/09/2026,VF501,VF5,Plus,Xám,Zenith Grey,Màu Đen,RLNV5JSE5TH834094,VFCAFB269030117,2026,N31919,,Ô tô Vinfast Minh Đạo - Ocean Park2,,,,,,,12/09/2026,,,,,,,
44,9,07/09/2026,VF305,VF3,Plus,Màu đỏ Ruby,Solar Ruby,Màu Đen,RLNVBL9K0TT743893,TZ160X30G26071700406,2026,N31915,Kho xe Xưởng cơ khí - Thái Nguyên,Ô tô Vinfast Cam Giá,Ô tô Vinfast Cam Giá,TC2,,12/09/2026,,,07/09/2026,12/09/2026,08/09/2026,02.0284/09/2026/HĐMB-MDP,,,,
45,9,12/09/2026,VF501,VF5,Plus,Trắng,White,Màu Đen,RLNV5JSE7TH838812,,2026,N31912,,Ô tô Vinfast Bắc Ninh,,,,,,,,,,,,,,
46,9,09/09/2026,VF2,VF2,VF2 màu cơ bản,Màu đỏ Ruby,Solar Ruby,Màu xám,RLNVMNRS5TT708627,HLSA3A266090077,2026,N31912,Kho xe ô tô Vinfast Bắc Ninh,Ô tô Vinfast Bắc Ninh,,,,,,,10/09/2026,,14/09/2026,,,,,
47,9,12/09/2026,VF713,VF7,ECO,Trắng,White,Màu Đen,RLLV3F5D8TH824397,VFCAJB268290153,2026,N31923,Kho xe ô tô QL13 - HCM,Ô tô Vinfast Minh Đạo - Phạm Văn Đồng,,TC2 - có HUD,,,,,12/09/2026,,15/09/2026,,,,,
48,9,07/09/2026,VF306,VF3,Plus,Hồng Phấn,Brahminy White Roof- Rose Pink,Màu Đen,RLNVBL9K9TT741771,TZ160X30G26061600095,2026,N31901,Kho xe Xưởng cơ khí - Thái Nguyên,Ô tô Vinfast Cam Giá,Ô tô Vinfast Cam Giá,TC2,,09/09/2026,,,07/09/2026,09/09/2026,08/09/2026,02.0169/09/2026/HĐMB-MDP,,,,
49,9,14/09/2026,VF305,VF3,Plus,Trắng,White,Màu Đen,RLNVBL9K7TT745320,,2026,N31919,,Ô tô Vinfast Minh Đạo - Ocean Park2,Ô tô Vinfast Minh Đạo - Ocean Park2,TC2,,16/09/2026,,,,,,02.0617/09/2026/HĐMB-MDP,,,,
50,9,09/09/2026,VF2,VF2,VF2 màu cơ bản,Màu đỏ Ruby,Solar Ruby,Màu xám,RLNVMNRSXTT708655,HLSA3A266090111,2026,N31915,Kho xe Tân Long - Thái Nguyên,Ô tô Vinfast Minh Đạo - Tân Thịnh,Ô tô Vinfast Minh Đạo - Tân Long,,02.0023/09/2026/HĐMB-MDP,14/09/2026,14/09/2026,Ô tô Vinfast Minh Đạo - Tân Long,10/09/2026,14/09/2026,14/09/2026,02.0023/09/2026/HĐMB-MDP,16/09/2026,,,
51,9,12/09/2026,PE1U06,VF9,Plus_metal_3zones,Xám,Zenith Grey,Màu Đen,RLLV2CFA6TH823223,VFBALB267060096; VFBALA266220077,2026,N31917,Kho xe ô tô Vinfast Mê Linh,Ô tô Vinfast Mê Linh,,,,,,,12/09/2026,,14/09/2026,,,,,
52,9,07/09/2026,VF305,VF3,Plus,Trắng,White,Màu Đen,RLNVBL9KXTT744419,TZ160X30G26072000361,2026,N31910,Kho xe ô tô Vinfast Hòa Bình,Ô tô Vinfast Hòa Bình,,TC2,,,,,07/09/2026,,16/09/2026,,,,,
53,9,12/09/2026,VF503,VF5,Plus,Xanh Lá Nhạt,Urban Mint,Màu Đen,RLNV5JSE8TH838737,,2026,N31912,,Ô tô Vinfast Bắc Ninh,,,,,,,,,,,,,,
54,9,09/09/2026,VF2,VF2,VF2 màu cơ bản,Màu đỏ Ruby,Solar Ruby,Màu xám,RLNVMNRS4TT708649,HLSA3A266110086,2026,N31917,Kho ô tô Nguyễn Trãi,Ô tô Vinfast Minh Đạo - Nguyễn Trãi,Ô tô Vinfast Minh Đạo - Nguyễn Trãi,,,16/09/2026,,,10/09/2026,,12/09/2026,02.0769/09/2026/HĐMB-MDP,16/09/2026,,,
55,9,12/09/2026,VF713,VF7,ECO,Màu đỏ Ruby,Solar Ruby,Màu Đen,RLLV3F5D3TH825442,VFCAJB268200016,2026,N31923,Kho xe ô tô QL13 - HCM,Ô tô Vinfast 03/2,,TC2 - có HUD,,,,,12/09/2026,,15/09/2026,,,,,
56,9,07/09/2026,VF305,VF3,Plus,Trắng,White,Màu Đen,RLNVBL9K6TT744322,TZ160X30G26072100188,2026,N31912,Kho xe ô tô Vinfast Bắc Ninh,Ô tô Vinfast Bắc Ninh,Ô tô Vinfast Bắc Ninh,TC2,,09/09/2026,,,07/09/2026,10/09/2026,09/09/2026,02.0335/09/2026/HĐMB-MDP,11/09/2026,,,
57,9,14/09/2026,VF306,VF3,Plus,Vàng nóc trắng,Brahminy White Roof- Summer Yellow,Màu Đen,RLNVBL9K8TT746394,TZ160X30G26072500132,2026,N31913,,Ô tô Vinfast Thuận An,,TC2,,,,,,,,,,,,
58,9,09/09/2026,VF605,VF6,Plus,Màu đỏ Ruby,Solar Ruby,Màu Be,RLLVAG8C3TH833166,VFBALB268150045,2026,N31921,Kho xe ô tô Vinfast Bắc Ninh,Ô tô Vinfast Bắc Ninh,,TC2,,,,,10/09/2026,,11/09/2026,,,,,
59,9,12/09/2026,VF706,VF7,ECO,Màu đỏ Ruby,Solar Ruby,Màu Đen,RLLV3F5D0TH825432,VFCAJB268080094,2026,N31921,Kho xe ô tô Lĩnh Nam,Ô tô Vinfast Minh Đạo - Nguyễn Trãi,,TC2 - không HUD,,,,,12/09/2026,,14/09/2026,,,,,
60,9,07/09/2026,VF306,VF3,Plus,Vàng nóc trắng,Brahminy White Roof- Summer Yellow,Màu Đen,RLNVBL9K9TT743259,TZ160X30G26071500283,2026,N31917,Kho xe ô tô Lĩnh Nam,Ô tô Vinfast Minh Đạo - Nguyễn Trãi,,TC2,,,,,07/09/2026,,15/09/2026,,,,,
61,9,12/09/2026,VF605,VF6,Plus,Trắng,White,Màu Mocha Nâu,RLLVAG8C6TH817155,VFBALB267300053,2026,N31919,Kho xe ô tô OCP 2,Ô tô Vinfast Minh Đạo - Ocean Park2,,TC2,,,,,,,16/09/2026,,,,,
62,9,09/09/2026,VF8THM,VF8,Thế hệ mới,ĐEN,Black,Màu Đen,RLLV3FUV2TH835597,VFLANB268200053,2026,N31917,Kho xe Xưởng cơ khí - Thái Nguyên,Ô tô Vinfast Cam Giá,Ô tô Vinfast Cam Giá,,,16/09/2026,,,10/09/2026,,11/09/2026,02.1172/03/2026/HĐMB-MDP,,,,
63,9,12/09/2026,PE1U01,VF9,Eco,ĐEN,Black,Màu Đen,RLLV2CVA2TH833619,VFBALB268110117; VFBALA267070293,2026,N31920,Kho xe VF Quý Hạnh - Sóc Sơn,Ô tô Vinfast Sóc Sơn,,,,,,,13/09/2026,,14/09/2026,,,,,
64,9,07/09/2026,VF707,VF7,Plus_metal,Trắng,White,Màu Mocha Nâu,RLLV3FKC5TH833697,VFBALB268260179,2026,N31922,Kho xe Xưởng cơ khí - Thái Nguyên,Ô tô Vinfast Cam Giá,,TC2 -1 cầu,,,,,08/09/2026,,12/09/2026,,,,,
65,9,14/09/2026,VF305,VF3,Plus,Trắng,White,Màu Đen,RLNVBL9K3TT745332,TZ160X30G26072500070,2026,N31911,,Ô tô Vinfast Vũng Tàu,,TC2,,,,,,,,,,,,
66,9,09/09/2026,VF8THM,VF8,Thế hệ mới,ĐEN,Black,Màu Đen,RLLV3FUV5TH835660,VFLANB268220047,2026,N31917,Kho xe Xưởng cơ khí - Thái Nguyên,Ô tô Vinfast Cam Giá,Ô tô Vinfast Cam Giá,,,11/09/2026,,,,,11/09/2026,02.0400/09/2026/HĐMB-MDP,,,,
67,9,12/09/2026,VF2,VF2,VF2 màu cơ bản,Trắng,White,Màu xám,RLNVMNRS9TT708887,HLSA3A266110025,2026,N31914,Kho xe ô tô Vinfast Mê Linh,Ô tô Vinfast Mê Linh,,,,,,,12/09/2026,,15/09/2026,,,,,
68,9,07/09/2026,VF707,VF7,Plus_metal,Trắng,White,Màu Mocha Nâu,RLLV3FKC9TH833699,VFBALB268260171,2026,N31922,Kho xe Xưởng cơ khí - Thái Nguyên,Ô tô Vinfast Cam Giá,,TC2 -1 cầu,,,,,08/09/2026,,12/09/2026,,,,,
69,9,12/09/2026,VF605,VF6,Plus,Trắng,White,Màu Mocha Nâu,RLLVAG8C4TH836593,VFBALB269030074,2026,N31923,,Ô tô Vinfast Vũng Tàu,,TC2,,,,,13/09/2026,,,,,,,
70,9,09/09/2026,VF8THM,VF8,Thế hệ mới,ĐEN,Black,Màu Đen,RLLV3FUV7TH835627,VFLANB268260222,2026,N31922,Kho xe ô tô Vinfast Bắc Ninh,Ô tô Vinfast Bắc Ninh,Ô tô Vinfast Bắc Ninh,,,15/09/2026,,,10/09/2026,16/09/2026,11/09/2026,02.0067/09/2026/HĐMB-MDP,,,,
71,9,12/09/2026,VF2,VF2,VF2 màu cơ bản,Trắng,White,Màu xám,RLNVMNRS6TT708829,HLSA3A266150029,2026,N31917,Kho xe ô tô Lĩnh Nam,Ô tô Vinfast Times City,,,,,,,12/09/2026,,14/09/2026,,,,,
72,9,07/09/2026,VF306,VF3,Plus,Xanh Lá Nhạt,Urban Mint,Màu Đen,RLNVBL9KXTT743688,TZ160X30G26071600262,2026,N31913,Kho xe ô tô Thuận An,Ô tô Vinfast Thuận An,,TC2,,,,,08/09/2026,,14/09/2026,,,,,
73,9,14/09/2026,VF305,VF3,Plus,Trắng,White,Màu Đen,RLNVBL9K5TT746336,,2026,N31911,,Ô tô Vinfast Vũng Tàu,,TC2,,,,,,,,,,,,
74,9,09/09/2026,VF8THM,VF8,Thế hệ mới,ĐEN,Black,Màu Đen,RLLV3FUV3TH835351,VFLANB268190005,2026,N31922,Kho xe ô tô Vinfast Bắc Ninh,Ô tô Vinfast Bắc Ninh,,,,,,,10/09/2026,,11/09/2026,,,,,
75,9,12/09/2026,VF2,VF2,VF2 màu cơ bản,Trắng,White,Màu xám,RLNVMNRS9TT708744,HLSA3A265290173,2026,N31917,Kho xe ô tô Vinfast Times city,Ô tô Vinfast Times City,,,,,,,12/09/2026,,16/09/2026,,,,,
76,9,07/09/2026,VF305,VF3,Plus,Xám,Zenith Grey,Màu Đen,RLNVBL9K8TT743821,TZ160X30G26072000166,2026,N31916,Kho xe VF Quý Hạnh - Sóc Sơn,Ô tô Vinfast Sóc Sơn,,TC2,,,,,07/09/2026,,12/09/2026,,,,,
77,9,12/09/2026,VF605,VF6,Plus,Trắng,White,Màu Mocha Nâu,RLLVAG8CXTH835979,,2026,N31923,,Ô tô Vinfast Vũng Tàu,,TC2,,,,,,,,,,,,
78,9,09/09/2026,VF8THM,VF8,Thế hệ mới,ĐEN,Black,Màu Đen,RLLV3FUV0TH835355,VFLANB268290189,2026,N31922,,Ô tô Vinfast Minh Đạo - Ocean Park2,,,,,,,10/09/2026,,,,,,,
79,9,12/09/2026,VF2,VF2,VF2 màu cơ bản,Trắng,White,Màu xám,RLNVMNRS6TT708751,HLSA3A266150111,2026,N31915,Kho xe Nhà máy SXLR - Thái Nguyên,Ô tô Vinfast Minh Đạo - Tân Thịnh,,,,,,,,,14/09/2026,,,,,
80,9,07/09/2026,VF502,VF5,S,Xanh Dương Đậm,Electric Blue,Màu Đen,RLNV5JSE1RH771729,VFCAFB24B210175,2026,N31906,Kho xe ô tô QL13 - HCM,Ô tô Vinfast Minh Đạo - Phạm Văn Đồng,,Nhập bổ sung xe cũ để nhập kho vật lí,,,,,,,07/09/2026,,,,,
81,9,14/09/2026,VF305,VF3,Plus,Xám,Zenith Grey,Màu Đen,RLNVBL9K1TT746107,TZ160X30G26072700106,2026,N31913,,Ô tô Vinfast Minh Đạo - Phạm Văn Đồng,,TC2,,,,,,,,,,,,
82,9,09/09/2026,VF8THM,VF8,Thế hệ mới,ĐEN,Black,Màu Đen,RLLV3FUV9TH835600,VFLANB268250059,2026,N31922,Kho xe ô tô Vinfast Mê Linh,Ô tô Vinfast Times City,,,,,,,10/09/2026,,12/09/2026,,,,,
83,9,12/09/2026,VF302,VF3,Eco,Xám,Zenith Grey,Màu Đen,RLNVBL9K5TT744893,TZ160X30G26072200232,2026,N31912,Kho xe ô tô Vinfast Bắc Ninh,Ô tô Vinfast Bắc Ninh,,TC2,,,,,12/09/2026,,14/09/2026,,,,,
84,9,07/09/2026,VF503,VF5,Plus,Vàng nóc đen,Jet black roof- Summer yellow,Màu Đen,RLNV5JSE2RH778978,VFCAFB24C030012,2026,N31904,Kho xe ô tô Thuận An,Ô tô Vinfast Thuận An,,Nhập bổ sung xe cũ để nhập kho vật lí,,,,,,,07/09/2026,,,,,
85,9,12/09/2026,VF603,VF6,ECO,Xám,Zenith Grey,Màu Đen,RLLVAGNDXTH832903,VFCAJB268270115,2026,N31922,Kho xe Nhà máy SXLR - Thái Nguyên,Ô tô Vinfast Cam Giá,,bản TC,,,,,,,15/09/2026,,,,,
86,9,09/09/2026,VF8THM,VF8,Thế hệ mới,ĐEN,Black,Màu Đen,RLLV3FUV8TH825138,VFLANB268100058,2026,N31922,Kho xe ô tô Vinfast Mê Linh,Ô tô Vinfast Times City,Ô tô Vinfast Times City,N31922-VSO-26-06-0027/ Nguyễn Việt Hoàng,,12/09/2026,,,10/09/2026,12/09/2026,12/09/2026,02.0291/09/2026/HĐMB-MDP,,,,
87,9,12/09/2026,VF305,VF3,Plus,Trắng,White,Màu Đen,RLNVBL9K4TT744836,,2026,N31919,Kho xe ô tô OCP 2,Ô tô Vinfast Minh Đạo - Ocean Park2,Ô tô Vinfast Minh Đạo - Ocean Park2,TC2,,14/09/2026,,,12/09/2026,14/09/2026,15/09/2026,02.0645/09/2026/HĐMB-MDP,15/09/2026,,,
